id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9901945,gemütliches Zimmer Friedrichshain,18825180,Melanie,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.514788828649806,13.4653525693398,Private room,55,1,7,2017-01-02,0.2,1,0
9902256,Wohnung im Wrangelkiez,6802585,Judith,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.503870570561766,13.432611805859752,Entire home/apt,55,4,7,2016-12-21,0.21,1,0
9906684,D2 - be a local - with private wc,2293972,Philipp,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51761764558353,13.467331241814712,Private room,48,1,114,2018-10-24,3.29,30,341
9913293,Cosy flat in Friedrichshain,8113360,Priscila,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.51940408567779,13.451155000846928,Entire home/apt,45,15,8,2018-02-01,0.23,1,0
9914443,"Hell, groß und familienfreudlich",50975020,Annerose,Pankow,Prenzlauer Berg Nord,52.55158737105473,13.414244848898656,Entire home/apt,80,7,0,,,1,0
9914902,Rooms Center Berlin Alexaanderplatz,50976411,Ash,Mitte,Alexanderplatz,52.52274539994644,13.40418256457268,Private room,45,4,0,,,2,0
9915189,Cosy 2 room flat in Xberg,20565728,Laura,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49201916630807,13.383136878919617,Entire home/apt,52,5,2,2018-01-17,0.06,1,0
9915591,Apartment I Center Friedrichshain,50979010,Julia,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.512927250354814,13.45468757395851,Entire home/apt,32,1,2,2015-12-29,0.06,1,0
9915929,Loft + Pool + Terrasse + Pole,50981635,Anna,Mitte,Alexanderplatz,52.5272700457213,13.4058474771989,Entire home/apt,79,1,167,2018-11-04,4.83,1,324
9916020,Charming Flat in the Heart of Kreuzkölln,50981720,Maria,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49098784768167,13.416199186504134,Entire home/apt,62,10,15,2017-06-06,0.43,2,0
9917784,"Wonderful 2,5 Bedroom Apartment",23851163,Marianna,Charlottenburg-Wilm.,Halensee,52.4968972978162,13.302853624501896,Entire home/apt,60,90,0,,,2,251
9918387,Stylish and sunny Neukölln home,5731828,Felix,Neukölln,Neuköllner Mitte/Zentrum,52.4680850459167,13.43491904710533,Entire home/apt,79,2,18,2017-04-29,0.52,2,0
9918792,Holidays in the lively Bergmannkiez,49982491,Christian,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48728024443984,13.39464076457409,Private room,19,2,2,2017-09-25,0.06,1,0
9919134,Central and cosy place in Berlin!,5903213,Hilal &,Mitte,Moabit Ost,52.523885994683845,13.357425501020144,Entire home/apt,55,4,82,2018-10-26,2.56,1,38
9919533,Cute flat for max 3 persons,22836752,Josi,Mitte,Wedding Zentrum,52.553707196028576,13.379642727745544,Entire home/apt,35,1,0,,,1,0
9921767,Rooms Center Berlin Alexaanderplatz,50976411,Ash,Mitte,Alexanderplatz,52.52262662078304,13.40485345829567,Private room,45,5,0,,,2,0
9922134,Altbauwohnung in Berlin Kreuzberg,49275425,Leon,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48826552664281,13.393471944771017,Entire home/apt,70,1,9,2018-04-01,0.26,1,0
9924899,"Charming room in Kreuzberg, Graefekiez",4289187,Ka,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49257341244246,13.416507465332367,Private room,30,3,3,2018-09-19,0.09,2,358
9926537,L Paz,17258874,Leila,Pankow,Prenzlauer Berg Südwest,52.53867481932355,13.408360472734534,Entire home/apt,90,2,55,2018-10-15,1.59,1,152
9930855,2- 3 Person Room,51048394,Britta,Neukölln,Schillerpromenade,52.46790708310845,13.428337119503365,Private room,35,1,3,2016-05-01,0.09,1,0
